,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
,,Elazığ,126.912,92.941,11.06.2021 23:46:45,2.569,600
,,Erzincan,60.918,45.081,11.06.2021 23:46:45,1.353,289
,,Erzurum,134.274,96.761,11.06.2021 23:46:45,3.464,519
,,Eskişehir,281.013,198.868,11.06.2021 23:46:45,8.460,1.135
,,Gaziantep,286.056,186.158,11.06.2021 23:46:45,7.767,1.380
,,Giresun,147.050,114.878,11.06.2021 23:46:45,2.330,713
,,Gümüşhane,29.640,22.264,11.06.2021 23:46:45,657,211
,,Hakkari,25.594,12.181,11.06.2021 23:46:45,850,155
,,Hatay,300.358,204.971,11.06.2021 23:46:45,6.945,1.738
,,Içel,446.047,325.068,11.06.2021 23:46:45,10.058,1.932
,,Iğdır,29.156,18.395,11.06.2021 23:46:45,626,192
,,Isparta,138.284,99.171,11.06.2021 23:46:45,3.927,679
,,Istanbul,3.321.025,2.214.233,11.06.2021 23:46:45,106.632,15.784
,,Izmir,1.301.497,932.272,11.06.2021 23:46:45,35.116,5.221
,,Kahramanmaraş,194.731,136.367,11.06.2021 23:46:45,5.034,917
,,Karabük,71.335,52.705,11.06.2021 23:46:45,893,735
,,Karaman,61.789,45.092,11.06.2021 23:46:45,1.652,256
,,Kars,50.887,34.937,11.06.2021 23:46:45,1.556,260
,,Kastamonu,120.264,92.640,11.06.2021 23:46:45,2.769,386
,,Kayseri,325.365,228.930,11.06.2021 23:46:45,8.993,1.334
,,Kırıkkale,76.408,54.188,11.06.2021 23:46:45,1.356,431
,,Kırklareli,125.670,93.102,11.06.2021 23:46:45,3.017,639
,,Kırşehir,69.457,50.759,11.06.2021 23:46:45,1.967,375
,,Kilis,26.224,16.036,11.06.2021 23:46:45,900,111
,,Kocaeli,432.862,292.307,11.06.2021 23:46:45,13.009,1.990
,,Konya,487.800,345.075,11.06.2021 23:46:45,12.190,1.738
,,Kütahya,162.267,113.587,11.06.2021 23:46:45,4.352,560
,,Malatya,186.475,136.242,11.06.2021 23:46:45,5.148,853
,,Manisa,381.238,260.431,11.06.2021 23:46:45,10.404,1.815
,,Mardin,72.455,47.772,11.06.2021 23:46:45,1.684,344
,,Muğla,360.346,258.359,11.06.2021 23:46:45,10.382,1.868
,,Muş,39.525,26.672,11.06.2021 23:46:45,955,203
,,Nevşehir,78.414,54.568,11.06.2021 23:46:45,2.700,428
,,Niğde,77.265,55.395,11.06.2021 23:46:45,2.554,394
,,Ordu,236.118,173.747,11.06.2021 23:46:45,5.517,1.250
,,Osmaniye,120.374,89.502,11.06.2021 23:46:45,2.722,562
,,Rize,95.181,71.852,11.06.2021 23:46:45,2.107,516
,,Sakarya,232.069,168.577,11.06.2021 23:46:45,6.557,829
,,Samsun,362.710,267.712,11.06.2021 23:46:45,5.453,1.353
,,Siirt,27.792,17.753,11.06.2021 23:46:45,804,150
,,Sinop,74.359,57.374,11.06.2021 23:46:45,1.608,379
,,Sivas,154.013,115.393,11.06.2021 23:46:45,5.385,743
,,Şanlıurfa,157.834,98.736,11.06.2021 23:46:45,4.559,861
,,Şırnak,42.904,20.794,11.06.2021 23:46:45,1.094,190
,,Tekirdağ,261.529,191.426,11.06.2021 23:46:45,5.059,1.692
,,Tokat,171.682,127.940,11.06.2021 23:46:45,3.839,898
,,Trabzon,231.404,170.301,11.06.2021 23:46:45,5.332,1.013
,,Tunceli,29.371,21.511,11.06.2021 23:46:45,751,209
,,Türkiye,19.287.077,13.585.769,11.06.2021 23:46:45,505.179,89.531
,,Uşak,104.621,74.398,11.06.2021 23:46:45,2.706,594
,,Van,130.362,79.808,11.06.2021 23:46:45,2.515,950
,,Yalova,83.965,61.691,11.06.2021 23:46:45,2.471,371
,,Yozgat,97.293,75.558,11.06.2021 23:46:45,3.275,362
,,Zonguldak,177.939,128.474,11.06.2021 23:46:45,3.989,953
,,Adana,447.437,327.797,12.06.2021 23:47:00,5.876,998
,,Adıyaman,105.981,71.311,12.06.2021 23:47:00,1.499,368
,,Afyon,178.384,127.420,12.06.2021 23:47:00,4.172,614
,,Ağrı,64.399,34.147,12.06.2021 23:47:00,782,271
,,Aksaray,81.638,57.654,12.06.2021 23:47:00,1.264,239
,,Amasya,112.479,81.196,12.06.2021 23:47:00,1.465,231
,,Ankara,1.667.938,1.146.025,12.06.2021 23:47:00,43.188,5.650
,,Antalya,673.283,486.390,12.06.2021 23:47:00,9.622,3.078
,,Ardahan,23.742,16.911,12.06.2021 23:47:00,281,64
,,Artvin,52.232,39.890,12.06.2021 23:47:00,734,46
,,Aydın,372.834,269.633,12.06.2021 23:47:00,5.841,1.106
,,Balıkesir,446.549,337.729,12.06.2021 23:47:00,6.839,1.124
,,Bartın,59.997,45.450,12.06.2021 23:47:00,708,219
,,Batman,68.381,44.674,12.06.2021 23:47:00,1.135,213
,,Bayburt,16.281,11.797,12.06.2021 23:47:00,220,56
,,Bilecik,65.580,45.780,12.06.2021 23:47:00,1.305,140
,,Bingöl,39.884,28.228,12.06.2021 23:47:00,415,101
,,Bitlis,31.978,21.395,12.06.2021 23:47:00,475,77
,,Bolu,100.088,70.145,12.06.2021 23:47:00,1.610,214
,,Burdur,85.884,61.819,12.06.2021 23:47:00,1.304,198
,,Bursa,755.824,500.472,12.06.2021 23:47:00,15.930,2.954
,,Çanakkale,203.947,151.766,12.06.2021 23:47:00,4.021,608
,,Çankırı,55.934,42.464,12.06.2021 23:47:00,954,114
,,Çorum,160.503,112.641,12.06.2021 23:47:00,2.103,453
,,Denizli,289.317,195.390,12.06.2021 23:47:00,5.601,836
,,Diyarbakır,184.752,123.703,12.06.2021 23:47:00,3.570,516
,,Düzce,91.344,68.390,12.06.2021 23:47:00,676,267
,,Edirne,154.121,115.918,12.06.2021 23:47:00,2.165,564
,,Elazığ,128.958,93.292,12.06.2021 23:47:00,2.046,351
,,Erzincan,61.860,45.220,12.06.2021 23:47:00,942,139
,,Erzurum,135.935,97.112,12.06.2021 23:47:00,1.661,351
,,Eskişehir,286.894,199.780,12.06.2021 23:47:00,5.881,912
,,Gaziantep,292.015,187.380,12.06.2021 23:47:00,5.959,1.222
,,Giresun,147.982,115.248,12.06.2021 23:47:00,932,370
,,Gümüşhane,29.795,22.314,12.06.2021 23:47:00,155,50
,,Hakkari,26.009,12.261,12.06.2021 23:47:00,415,80
,,Hatay,305.491,206.266,12.06.2021 23:47:00,5.133,1.295
,,Içel,454.424,326.335,12.06.2021 23:47:00,8.377,1.267
,,Iğdır,29.400,18.547,12.06.2021 23:47:00,244,152
,,Isparta,140.572,99.543,12.06.2021 23:47:00,2.288,372
,,Istanbul,3.417.819,2.226.923,12.06.2021 23:47:00,96.794,12.690
,,Izmir,1.330.795,936.730,12.06.2021 23:47:00,29.298,4.458
,,Kahramanmaraş,197.681,136.879,12.06.2021 23:47:00,2.950,512
,,Karabük,72.593,52.885,12.06.2021 23:47:00,1.258,180
,,Karaman,62.715,45.186,12.06.2021 23:47:00,926,94
,,Kars,51.723,35.036,12.06.2021 23:47:00,836,99
,,Kastamonu,121.907,92.821,12.06.2021 23:47:00,1.643,181
,,Kayseri,328.849,229.600,12.06.2021 23:47:00,3.484,670
,,Kırıkkale,77.157,54.484,12.06.2021 23:47:00,749,296
,,Kırklareli,127.369,93.485,12.06.2021 23:47:00,1.699,383
,,Kırşehir,70.586,50.973,12.06.2021 23:47:00,1.129,214
,,Kilis,26.496,16.131,12.06.2021 23:47:00,272,95
,,Kocaeli,445.330,293.935,12.06.2021 23:47:00,12.468,1.628
,,Konya,496.023,346.345,12.06.2021 23:47:00,8.223,1.270
,,Kütahya,164.608,113.910,12.06.2021 23:47:00,2.341,323
,,Malatya,188.744,136.840,12.06.2021 23:47:00,2.269,598
,,Manisa,390.303,261.860,12.06.2021 23:47:00,9.065,1.429
,,Mardin,73.783,47.987,12.06.2021 23:47:00,1.328,215
,,Muğla,367.504,259.499,12.06.2021 23:47:00,7.158,1.140
,,Muş,39.990,26.805,12.06.2021 23:47:00,465,133
,,Nevşehir,79.703,54.844,12.06.2021 23:47:00,1.289,276
,,Niğde,78.467,55.663,12.06.2021 23:47:00,1.202,268
,,Ordu,239.912,174.585,12.06.2021 23:47:00,3.794,838
,,Osmaniye,122.379,89.796,12.06.2021 23:47:00,2.005,294
,,Rize,96.257,72.138,12.06.2021 23:47:00,1.076,286
,,Sakarya,236.688,169.220,12.06.2021 23:47:00,4.619,643
,,Samsun,366.658,268.772,12.06.2021 23:47:00,3.948,1.060
,,Siirt,28.264,17.817,12.06.2021 23:47:00,472,64
,,Sinop,75.389,57.577,12.06.2021 23:47:00,1.030,203
,,Sivas,156.553,115.799,12.06.2021 23:47:00,2.540,406
,,Şanlıurfa,160.359,99.227,12.06.2021 23:47:00,2.525,491
,,Şırnak,43.441,20.893,12.06.2021 23:47:00,537,99
,,Tekirdağ,266.165,192.662,12.06.2021 23:47:00,4.636,1.236
,,Tokat,174.248,128.533,12.06.2021 23:47:00,2.566,593
,,Trabzon,234.188,171.070,12.06.2021 23:47:00,2.784,769
,,Tunceli,29.612,21.582,12.06.2021 23:47:00,241,71
,,Türkiye,19.675.768,13.649.862,12.06.2021 23:47:00,388.691,64.093
,,Uşak,106.416,74.722,12.06.2021 23:47:00,1.795,324
,,Van,132.097,80.277,12.06.2021 23:47:00,1.735,469
,,Yalova,85.575,61.957,12.06.2021 23:47:00,1.610,266
,,Yozgat,98.871,75.761,12.06.2021 23:47:00,1.578,203
,,Zonguldak,182.505,129.220,12.06.2021 23:47:00,4.566,746
,,Adana,453.974,328.588,13.06.2021 23:46:44,6.537,791
,,Adıyaman,107.524,71.566,13.06.2021 23:46:44,1.543,255
,,Afyon,182.394,127.898,13.06.2021 23:46:44,4.010,478
,,Ağrı,65.180,34.388,13.06.2021 23:46:44,781,241
,,Aksaray,82.681,57.838,13.06.2021 23:46:44,1.043,184
,,Amasya,113.640,81.341,13.06.2021 23:46:44,1.161,145
,,Ankara,1.710.302,1.150.800,13.06.2021 23:46:44,42.364,4.775
,,Antalya,683.754,488.443,13.06.2021 23:46:44,10.471,2.053
,,Ardahan,23.959,16.958,13.06.2021 23:46:44,217,47
,,Artvin,52.911,39.937,13.06.2021 23:46:44,679,47
,,Aydın,378.112,270.562,13.06.2021 23:46:44,5.278,929
,,Balıkesir,452.988,338.498,13.06.2021 23:46:44,6.439,769
,,Bartın,60.776,45.578,13.06.2021 23:46:44,779,128
,,Batman,69.444,44.837,13.06.2021 23:46:44,1.063,163
,,Bayburt,16.453,11.847,13.06.2021 23:46:44,172,50
,,Bilecik,66.658,45.904,13.06.2021 23:46:44,1.078,124
,,Bingöl,40.268,28.306,13.06.2021 23:46:44,384,78
,,Bitlis,32.381,21.444,13.06.2021 23:46:44,403,49
,,Bolu,101.817,70.318,13.06.2021 23:46:44,1.729,173
,,Burdur,86.914,61.946,13.06.2021 23:46:44,1.030,127
,,Bursa,772.081,503.257,13.06.2021 23:46:44,16.257,2.785
,,Çanakkale,207.365,152.108,13.06.2021 23:46:44,3.418,342
,,Çankırı,56.792,42.532,13.06.2021 23:46:44,858,68
,,Çorum,162.385,112.919,13.06.2021 23:46:44,1.882,278
,,Denizli,294.368,196.078,13.06.2021 23:46:44,5.051,688
,,Diyarbakır,188.555,124.117,13.06.2021 23:46:44,3.803,414
,,Düzce,92.511,68.597,13.06.2021 23:46:44,1.167,207
,,Edirne,156.570,116.286,13.06.2021 23:46:44,2.449,368
,,Elazığ,130.953,93.558,13.06.2021 23:46:44,1.995,266
,,Erzincan,62.674,45.318,13.06.2021 23:46:44,814,98
,,Erzurum,137.609,97.362,13.06.2021 23:46:44,1.674,250
,,Eskişehir,292.284,200.572,13.06.2021 23:46:44,5.390,792
,,Gaziantep,297.825,188.451,13.06.2021 23:46:44,5.810,1.071
,,Giresun,148.868,115.504,13.06.2021 23:46:44,886,256
,,Gümüşhane,29.927,22.350,13.06.2021 23:46:44,132,36
,,Hakkari,26.367,12.329,13.06.2021 23:46:44,358,68
,,Hatay,311.002,207.158,13.06.2021 23:46:44,5.511,892
,,Içel,462.823,327.243,13.06.2021 23:46:44,8.399,908
,,Iğdır,29.611,18.618,13.06.2021 23:46:44,211,71
,,Isparta,142.298,99.797,13.06.2021 23:46:44,1.726,254
,,Istanbul,3.532.395,2.238.137,13.06.2021 23:46:44,114.576,11.214
,,Izmir,1.363.634,940.409,13.06.2021 23:46:44,32.839,3.679
,,Kahramanmaraş,200.290,137.297,13.06.2021 23:46:44,2.609,418
,,Karabük,73.846,53.014,13.06.2021 23:46:44,1.253,129
,,Karaman,63.523,45.266,13.06.2021 23:46:44,808,80
,,Kars,52.399,35.117,13.06.2021 23:46:44,676,81
,,Kastamonu,123.251,92.931,13.06.2021 23:46:44,1.344,110
,,Kayseri,332.266,230.121,13.06.2021 23:46:44,3.417,521
,,Kırıkkale,77.920,54.790,13.06.2021 23:46:44,763,306
,,Kırklareli,128.937,93.792,13.06.2021 23:46:44,1.568,307
,,Kırşehir,71.515,51.079,13.06.2021 23:46:44,929,106
,,Kilis,26.848,16.251,13.06.2021 23:46:44,352,120
,,Kocaeli,458.645,295.448,13.06.2021 23:46:44,13.315,1.513
,,Konya,503.946,347.452,13.06.2021 23:46:44,7.923,1.107
,,Kütahya,166.517,114.140,13.06.2021 23:46:44,1.909,230
,,Malatya,190.643,137.225,13.06.2021 23:46:44,1.899,385
,,Manisa,399.916,263.071,13.06.2021 23:46:44,9.613,1.211
,,Mardin,75.085,48.144,13.06.2021 23:46:44,1.302,157
,,Muğla,373.852,260.525,13.06.2021 23:46:44,6.348,1.026
,,Muş,40.713,26.894,13.06.2021 23:46:44,723,89
,,Nevşehir,80.837,54.999,13.06.2021 23:46:44,1.134,155
,,Niğde,79.504,55.834,13.06.2021 23:46:44,1.037,171
,,Ordu,243.132,175.156,13.06.2021 23:46:44,3.220,571
,,Osmaniye,124.044,89.980,13.06.2021 23:46:44,1.665,184
,,Rize,97.140,72.330,13.06.2021 23:46:44,883,192
,,Sakarya,241.671,169.795,13.06.2021 23:46:44,4.983,575
,,Samsun,370.724,269.633,13.06.2021 23:46:44,4.066,861
,,Siirt,28.757,17.877,13.06.2021 23:46:44,493,60
,,Sinop,76.336,57.710,13.06.2021 23:46:44,947,133
,,Sivas,158.917,116.101,13.06.2021 23:46:44,2.364,302
,,Şanlıurfa,163.366,99.586,13.06.2021 23:46:44,3.007,359
,,Şırnak,44.065,20.965,13.06.2021 23:46:44,624,72
,,Tekirdağ,271.116,193.547,13.06.2021 23:46:44,4.951,885
,,Tokat,176.313,128.873,13.06.2021 23:46:44,2.065,340
,,Trabzon,236.807,171.685,13.06.2021 23:46:44,2.619,615
,,Tunceli,29.819,21.636,13.06.2021 23:46:44,207,54
,,Türkiye,20.080.413,13.701.335,13.06.2021 23:46:44,404.645,51.473
,,Uşak,108.191,74.953,13.06.2021 23:46:44,1.775,231
,,Van,134.166,80.648,13.06.2021 23:46:44,2.069,371
,,Yalova,87.249,62.170,13.06.2021 23:46:44,1.674,213
,,Yozgat,100.102,75.890,13.06.2021 23:46:44,1.231,129
,,Zonguldak,187.018,129.713,13.06.2021 23:46:44,4.513,493
,,Adana,469.670,331.129,14.06.2021 23:46:46,15.696,2.541
,,Adıyaman,112.598,72.082,14.06.2021 23:46:46,5.074,516
,,Afyon,190.405,128.543,14.06.2021 23:46:46,8.011,645
,,Ağrı,67.295,34.682,14.06.2021 23:46:46,2.115,294
,,Aksaray,85.448,58.149,14.06.2021 23:46:46,2.767,311
,,Amasya,118.452,81.716,14.06.2021 23:46:46,4.812,375
,,Ankara,1.777.774,1.157.024,14.06.2021 23:46:46,67.472,6.224
,,Antalya,700.132,491.099,14.06.2021 23:46:46,16.378,2.656
,,Ardahan,24.759,17.067,14.06.2021 23:46:46,800,109
,,Artvin,55.447,40.175,14.06.2021 23:46:46,2.536,238
,,Aydın,390.490,271.832,14.06.2021 23:46:46,12.378,1.270
,,Balıkesir,465.689,339.761,14.06.2021 23:46:46,12.701,1.263
,,Bartın,62.047,45.791,14.06.2021 23:46:46,1.271,213
,,Batman,71.999,45.185,14.06.2021 23:46:46,2.555,348
,,Bayburt,17.020,11.940,14.06.2021 23:46:46,567,93
,,Bilecik,69.553,46.100,14.06.2021 23:46:46,2.895,196
,,Bingöl,41.791,28.472,14.06.2021 23:46:46,1.523,166
,,Bitlis,33.718,21.576,14.06.2021 23:46:46,1.337,132
,,Bolu,105.830,70.610,14.06.2021 23:46:46,4.013,292
,,Burdur,90.234,62.244,14.06.2021 23:46:46,3.320,298
,,Bursa,796.343,506.802,14.06.2021 23:46:46,24.262,3.545
,,Çanakkale,214.482,152.567,14.06.2021 23:46:46,7.117,459
,,Çankırı,58.590,42.698,14.06.2021 23:46:46,1.798,166
,,Çorum,168.199,113.489,14.06.2021 23:46:46,5.814,570
,,Denizli,307.933,197.183,14.06.2021 23:46:46,13.565,1.105
,,Diyarbakır,197.843,124.711,14.06.2021 23:46:46,9.288,594
,,Düzce,95.337,68.960,14.06.2021 23:46:46,2.826,363
,,Edirne,159.735,116.887,14.06.2021 23:46:46,3.165,601
,,Elazığ,135.431,93.982,14.06.2021 23:46:46,4.478,424
,,Erzincan,64.947,45.557,14.06.2021 23:46:46,2.273,239
,,Erzurum,144.100,97.875,14.06.2021 23:46:46,6.491,513
,,Eskişehir,304.229,201.645,14.06.2021 23:46:46,11.945,1.073
,,Gaziantep,310.692,189.646,14.06.2021 23:46:46,12.867,1.195
,,Giresun,152.163,116.305,14.06.2021 23:46:46,3.295,801
,,Gümüşhane,30.757,22.525,14.06.2021 23:46:46,830,175
,,Hakkari,27.724,12.458,14.06.2021 23:46:46,1.357,129
,,Hatay,323.016,208.242,14.06.2021 23:46:46,12.014,1.084
,,Içel,479.093,328.537,14.06.2021 23:46:46,16.270,1.294
,,Iğdır,30.580,18.726,14.06.2021 23:46:46,969,108
,,Isparta,147.278,100.241,14.06.2021 23:46:46,4.980,444
,,Istanbul,3.695.266,2.249.917,14.06.2021 23:46:46,162.871,11.780
,,Izmir,1.416.096,945.094,14.06.2021 23:46:46,52.462,4.685
,,Kahramanmaraş,208.367,137.986,14.06.2021 23:46:46,8.077,689
,,Karabük,76.031,53.310,14.06.2021 23:46:46,2.185,296
,,Karaman,65.955,45.468,14.06.2021 23:46:46,2.432,202
,,Kars,54.866,35.284,14.06.2021 23:46:46,2.467,167
,,Kastamonu,127.764,93.194,14.06.2021 23:46:46,4.513,263
,,Kayseri,345.789,231.162,14.06.2021 23:46:46,13.523,1.041
,,Kırıkkale,79.738,55.248,14.06.2021 23:46:46,1.818,458
,,Kırklareli,133.728,94.259,14.06.2021 23:46:46,4.791,467
,,Kırşehir,74.690,51.374,14.06.2021 23:46:46,3.175,295
,,Kilis,28.018,16.429,14.06.2021 23:46:46,1.170,178
,,Kocaeli,476.244,297.343,14.06.2021 23:46:46,17.599,1.895
,,Konya,521.034,348.843,14.06.2021 23:46:46,17.088,1.391
,,Kütahya,173.900,114.640,14.06.2021 23:46:46,7.383,500
,,Malatya,199.873,137.972,14.06.2021 23:46:46,9.230,747
,,Manisa,415.795,264.709,14.06.2021 23:46:46,15.879,1.638
,,Mardin,78.927,48.391,14.06.2021 23:46:46,3.842,247
,,Muğla,389.827,261.832,14.06.2021 23:46:46,15.975,1.307
,,Muş,42.373,27.023,14.06.2021 23:46:46,1.660,129
,,Nevşehir,84.881,55.290,14.06.2021 23:46:46,4.044,291
,,Niğde,83.173,56.143,14.06.2021 23:46:46,3.669,309
,,Ordu,251.277,176.183,14.06.2021 23:46:46,8.145,1.027
,,Osmaniye,129.286,90.338,14.06.2021 23:46:46,5.242,358
,,Rize,100.512,72.798,14.06.2021 23:46:46,3.372,468
,,Sakarya,248.671,170.637,14.06.2021 23:46:46,7.000,842
,,Samsun,379.057,270.956,14.06.2021 23:46:46,8.333,1.323
,,Siirt,30.224,18.039,14.06.2021 23:46:46,1.467,162
,,Sinop,78.636,57.999,14.06.2021 23:46:46,2.300,289
,,Sivas,166.631,116.764,14.06.2021 23:46:46,7.714,663
,,Şanlıurfa,171.482,100.226,14.06.2021 23:46:46,8.116,640
,,Şırnak,45.728,21.146,14.06.2021 23:46:46,1.663,181
,,Tekirdağ,278.157,194.589,14.06.2021 23:46:46,7.041,1.042
,,Tokat,182.510,129.527,14.06.2021 23:46:46,6.197,654
,,Trabzon,244.926,172.746,14.06.2021 23:46:46,8.119,1.061
,,Tunceli,30.933,21.831,14.06.2021 23:46:46,1.114,195
,,Türkiye,20.848.205,13.774.726,14.06.2021 23:46:46,767.792,73.391
,,Uşak,111.619,75.432,14.06.2021 23:46:46,3.428,479
,,Van,139.183,81.327,14.06.2021 23:46:46,5.017,679
,,Yalova,90.544,62.468,14.06.2021 23:46:46,3.295,298
,,Yozgat,105.236,76.210,14.06.2021 23:46:46,5.134,320
,,Zonguldak,192.435,130.386,14.06.2021 23:46:46,5.417,673
,,Adana,496.866,334.119,15.06.2021 23:46:47,27.196,2.990
,,Adıyaman,117.887,72.965,15.06.2021 23:46:47,5.289,883
,,Afyon,202.928,130.502,15.06.2021 23:46:47,12.523,1.959
,,Ağrı,69.555,34.998,15.06.2021 23:46:47,2.260,316
,,Aksaray,89.260,58.935,15.06.2021 23:46:47,3.812,786
,,Amasya,125.194,82.497,15.06.2021 23:46:47,6.742,781
,,Ankara,1.871.310,1.170.230,15.06.2021 23:46:47,93.536,13.206
,,Antalya,725.566,495.726,15.06.2021 23:46:47,25.434,4.627
,,Ardahan,25.616,17.263,15.06.2021 23:46:47,857,196
,,Artvin,58.443,40.829,15.06.2021 23:46:47,2.996,654
,,Aydın,406.798,275.346,15.06.2021 23:46:47,16.308,3.514
,,Balıkesir,486.051,343.448,15.06.2021 23:46:47,20.362,3.687
,,Bartın,64.263,46.371,15.06.2021 23:46:47,2.216,580
,,Batman,75.020,45.648,15.06.2021 23:46:47,3.021,463
,,Bayburt,17.642,12.148,15.06.2021 23:46:47,622,208
,,Bilecik,73.649,46.644,15.06.2021 23:46:47,4.096,544
,,Bingöl,43.385,28.766,15.06.2021 23:46:47,1.594,294
,,Bitlis,35.030,21.978,15.06.2021 23:46:47,1.312,402
,,Bolu,111.826,71.385,15.06.2021 23:46:47,5.996,775
,,Burdur,94.529,62.900,15.06.2021 23:46:47,4.295,656
,,Bursa,833.765,513.884,15.06.2021 23:46:47,37.422,7.082
,,Çanakkale,225.047,154.001,15.06.2021 23:46:47,10.565,1.434
,,Çankırı,61.111,43.383,15.06.2021 23:46:47,2.521,685
,,Çorum,175.113,114.839,15.06.2021 23:46:47,6.914,1.350
,,Denizli,325.109,199.929,15.06.2021 23:46:47,17.176,2.746
,,Diyarbakır,208.469,126.410,15.06.2021 23:46:47,10.626,1.699
,,Düzce,99.862,69.642,15.06.2021 23:46:47,4.525,682
,,Edirne,165.089,117.865,15.06.2021 23:46:47,5.354,978
,,Elazığ,141.452,95.267,15.06.2021 23:46:47,6.021,1.285
,,Erzincan,67.641,46.092,15.06.2021 23:46:47,2.694,535
,,Erzurum,150.479,99.996,15.06.2021 23:46:47,6.379,2.121
,,Eskişehir,324.758,204.086,15.06.2021 23:46:47,20.529,2.441
,,Gaziantep,327.518,192.643,15.06.2021 23:46:47,16.826,2.997
,,Giresun,156.962,117.610,15.06.2021 23:46:47,4.799,1.305
,,Gümüşhane,31.808,22.911,15.06.2021 23:46:47,1.051,386
,,Hakkari,29.116,12.700,15.06.2021 23:46:47,1.392,242
,,Hatay,340.626,209.823,15.06.2021 23:46:47,17.610,1.581
,,Içel,503.133,331.547,15.06.2021 23:46:47,24.040,3.010
,,Iğdır,31.644,18.945,15.06.2021 23:46:47,1.064,219
,,Isparta,154.239,101.710,15.06.2021 23:46:47,6.961,1.469
,,Istanbul,3.946.013,2.273.449,15.06.2021 23:46:47,250.747,23.532
,,Izmir,1.483.700,954.030,15.06.2021 23:46:47,67.604,8.936
,,Kahramanmaraş,218.236,139.790,15.06.2021 23:46:47,9.869,1.804
,,Karabük,78.823,53.983,15.06.2021 23:46:47,2.792,673
,,Karaman,69.147,45.951,15.06.2021 23:46:47,3.192,483
,,Kars,57.529,35.690,15.06.2021 23:46:47,2.663,406
,,Kastamonu,133.441,94.581,15.06.2021 23:46:47,5.677,1.387
,,Kayseri,362.668,234.120,15.06.2021 23:46:47,16.879,2.958
,,Kırıkkale,82.606,56.038,15.06.2021 23:46:47,2.868,790
,,Kırklareli,139.948,94.996,15.06.2021 23:46:47,6.220,737
,,Kırşehir,78.636,52.025,15.06.2021 23:46:47,3.946,651
,,Kilis,29.843,16.667,15.06.2021 23:46:47,1.825,238
,,Kocaeli,504.097,301.220,15.06.2021 23:46:47,27.853,3.877
,,Konya,543.363,353.005,15.06.2021 23:46:47,22.329,4.162
,,Kütahya,183.006,116.034,15.06.2021 23:46:47,9.106,1.394
,,Malatya,209.584,139.675,15.06.2021 23:46:47,9.711,1.703
,,Manisa,440.943,266.979,15.06.2021 23:46:47,25.148,2.270
,,Mardin,83.182,49.235,15.06.2021 23:46:47,4.255,844
,,Muğla,412.795,264.691,15.06.2021 23:46:47,22.968,2.859
,,Muş,44.036,27.231,15.06.2021 23:46:47,1.663,208
,,Nevşehir,89.946,55.843,15.06.2021 23:46:47,5.065,553
,,Niğde,88.109,56.838,15.06.2021 23:46:47,4.936,695
,,Ordu,260.962,178.105,15.06.2021 23:46:47,9.685,1.922
,,Osmaniye,135.474,91.333,15.06.2021 23:46:47,6.188,995
,,Rize,104.562,73.751,15.06.2021 23:46:47,4.050,953
,,Sakarya,260.054,173.222,15.06.2021 23:46:47,11.383,2.585
,,Samsun,391.783,273.938,15.06.2021 23:46:47,12.726,2.982
,,Siirt,31.753,18.268,15.06.2021 23:46:47,1.529,229
,,Sinop,81.454,58.524,15.06.2021 23:46:47,2.818,525
,,Sivas,175.930,118.108,15.06.2021 23:46:47,9.299,1.344
,,Şanlıurfa,180.531,101.449,15.06.2021 23:46:47,9.049,1.223
,,Şırnak,47.476,21.418,15.06.2021 23:46:47,1.748,272
,,Tekirdağ,290.820,196.483,15.06.2021 23:46:47,12.663,1.894
,,Tokat,189.441,131.063,15.06.2021 23:46:47,6.931,1.536
,,Trabzon,254.629,175.363,15.06.2021 23:46:47,9.703,2.617
,,Tunceli,32.195,22.030,15.06.2021 23:46:47,1.262,199
,,Türkiye,21.928.925,13.932.013,15.06.2021 23:46:47,1.080.720,157.287
,,Uşak,116.320,76.429,15.06.2021 23:46:47,4.701,997
,,Van,146.771,82.122,15.06.2021 23:46:47,7.588,795
,,Yalova,95.101,63.136,15.06.2021 23:46:47,4.557,668
,,Yozgat,110.901,77.325,15.06.2021 23:46:47,5.665,1.115
,,Zonguldak,199.358,131.894,15.06.2021 23:46:47,6.923,1.508
,,Adana,534.159,336.364,16.06.2021 23:46:46,37.293,2.245
,,Adıyaman,123.448,73.558,16.06.2021 23:46:46,5.561,593
,,Afyon,215.233,131.709,16.06.2021 23:46:46,12.305,1.207
,,Ağrı,71.845,35.710,16.06.2021 23:46:46,2.290,712
,,Aksaray,93.788,59.408,16.06.2021 23:46:46,4.528,473
,,Amasya,132.350,83.052,16.06.2021 23:46:46,7.156,555
,,Ankara,1.984.993,1.176.715,16.06.2021 23:46:46,113.683,6.485
,,Antalya,763.282,499.083,16.06.2021 23:46:46,37.716,3.357
,,Ardahan,26.460,17.385,16.06.2021 23:46:46,844,122
,,Artvin,61.589,41.101,16.06.2021 23:46:46,3.146,272
,,Aydın,426.345,277.091,16.06.2021 23:46:46,19.547,1.745
,,Balıkesir,510.920,345.276,16.06.2021 23:46:46,24.869,1.828
,,Bartın,68.309,46.663,16.06.2021 23:46:46,4.046,292
,,Batman,78.985,45.985,16.06.2021 23:46:46,3.965,337
