,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
,,Karabük,6.197,0,29.01.2021 23:12:33,1.024,
,,Karaman,6.906,0,29.01.2021 23:12:25,987,
,,Kars,4.685,0,29.01.2021 23:11:51,415,
,,Kastamonu,10.603,0,29.01.2021 23:11:52,1.640,
,,Kayseri,35.116,0,29.01.2021 23:11:53,4.060,
,,Kırıkkale,7.608,0,29.01.2021 23:12:26,838,
,,Kırklareli,10.279,0,29.01.2021 23:11:54,1.646,
,,Kırşehir,6.873,0,29.01.2021 23:11:55,989,
,,Kilis,2.695,0,29.01.2021 23:12:34,156,
,,Kocaeli,40.822,0,29.01.2021 23:11:56,5.186,
,,Konya,47.505,0,29.01.2021 23:11:57,6.472,
,,Kütahya,13.147,0,29.01.2021 23:11:58,2.043,
,,Malatya,23.266,0,29.01.2021 23:11:59,2.131,
,,Manisa,31.644,0,29.01.2021 23:12:00,3.713,
,,Mardin,8.207,0,29.01.2021 23:12:02,484,
,,Muğla,30.215,0,29.01.2021 23:12:03,4.685,
,,Muş,3.869,0,29.01.2021 23:12:04,170,
,,Nevşehir,7.758,0,29.01.2021 23:12:05,1.057,
,,Niğde,8.975,0,29.01.2021 23:12:06,1.022,
,,Ordu,22.084,0,29.01.2021 23:12:07,3.162,
,,Osmaniye,12.874,0,29.01.2021 23:12:35,1.763,
,,Rize,10.605,0,29.01.2021 23:12:08,1.332,
,,Sakarya,17.008,0,29.01.2021 23:12:09,2.346,
,,Samsun,37.466,0,29.01.2021 23:12:10,4.583,
,,Siirt,2.883,0,29.01.2021 23:12:10,149,
,,Sinop,6.376,0,29.01.2021 23:12:12,960,
,,Sivas,15.149,0,29.01.2021 23:12:13,1.520,
,,Şanlıurfa,18.096,0,29.01.2021 23:12:18,890,
